id,bangla_question,english_question
2484,36 kg ভরের একটি গাড়ি 60 m/s বেগে চলছে এবং 6 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 36 kg is moving at 60 m/s velocity and decreases to 6 m/s. What is the change in momentum and change in kinetic energy?
2485,একটি সমান্তর অনুক্রমের প্রথম পদ 28 এবং সাধারণ অন্তর 13। 27 তম পদ এবং প্রথম 27 পদের সমষ্টি নির্ণয় করো।,The first term of an arithmetic progression is 28 and common difference is 13. Determine the 27th term and the sum of first 27 terms.
2486,কক্ষপথ বিভাজন কোনটি?,Which one is an orbital division?
2487,15 kg ভরের বস্তুর গতিশক্তি 100 J হলে বেগ কত?,What is the velocity if the kinetic energy of an object with mass 15 kg is 100 J?
2488,একটি পাখা 600 rpm কৌণিক বেগে ঘুরা অবস্থায় সুইচ বন্ধ করা হলে 6s এ পাখাটি কত বার ঘুরে থেমে যাবে?,If a fan rotating at an angular velocity of 600 rpm is switched off; how many times will the fan rotate in 6s before stopping?
2489,স্থির ঘর্ষণ বল কী?,What is static friction force?
2490,63 g NaOH এবং 28 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 92% ফলন পেলে প্রকৃত ফলন কত?,63 g NaOH and 28 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 92% yield is obtained?
2491,54 g NaOH এবং 73 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 97% ফলন পেলে প্রকৃত ফলন কত?,54 g NaOH and 73 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 97% yield is obtained?
2492,একটি ব্যাংকে 222640 টাকা 5 বছরের জন্য বার্ষিক 8% হারে সরল সুদ ও বছরে 12 বার চক্রবৃদ্ধি সুদে জমা দেওয়া হলো। (ক) সরল সুদের মোট টাকা কত? (খ) চক্রবৃদ্ধি সুদের মোট টাকা কত? (গ) পার্থক্য কত টাকা? (ঘ) কোন পদ্ধতিতে বেশি লাভ এবং কেন?,An amount of 222640 taka is deposited in a bank for 5 years at an annual rate of 8% for both simple interest and compound interest compounded 12 times per year. (a) What is the total amount with simple interest? (b) What is the total amount with compound interest? (c) What is the difference in taka? (d) Which method gives more profit and why?
2493,10 kg ভরের বস্তুতে 4 m/s² ত্বরণ সৃষ্টি করতে কত বল প্রয়োজন?,How much force is required to create an acceleration of 4 m/s² on an object of mass 10 kg?
2494,"একটি কৃত্রিম উপগ্রহ ভূ-পৃষ্ঠ থেকে একটি নির্দিষ্ট উচ্চতায় 8Km s-1 বেগে ঘুরছে, যেখানে অভিকর্ষজ ত্বরণের মান gh =8 ms-2। ভূ-পৃষ্ট হতে উপগ্রহটির উচ্চতা নির্ণয় করো।",A satellite is revolving at a speed of 8 km s-1 at a certain height from the earth's surface; where the acceleration due to gravity is gh = 8 ms-2. Determine the height of the satellite from the Earth's surface.
2495,20 kg ভরের বস্তুর গতিশক্তি 200 J হলে বেগ কত?,What is the velocity if the kinetic energy of an object with mass 20 kg is 200 J?
2496,50 kg ভরের বস্তুতে 6 m/s² ত্বরণ সৃষ্টি করতে কত বল প্রয়োজন?,How much force is required to create an acceleration of 6 m/s² on an object of mass 50 kg?
2497,37 kg ভরের একটি গাড়ি 28 m/s বেগে চলছে এবং 10 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 37 kg is moving at 28 m/s velocity and decreases to 10 m/s. What is the change in momentum and change in kinetic energy?
2498,একটি দ্বিঘাত সমীকরণ 1x² + -5x + -84 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 1x² + -5x + -84 = 0 and verify the sum and product of the roots.
2499,50 g NaOH এবং 66 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 85% ফলন পেলে প্রকৃত ফলন কত?,50 g NaOH and 66 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 85% yield is obtained?
2500,52 kg ভরের একটি গাড়ি 44 m/s বেগে চলছে এবং 15 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 52 kg is moving at 44 m/s velocity and decreases to 15 m/s. What is the change in momentum and change in kinetic energy?
2501,একটি সমান্তর অনুক্রমের প্রথম পদ 5 এবং সাধারণ অন্তর 5। 18 তম পদ এবং প্রথম 18 পদের সমষ্টি নির্ণয় করো।,The first term of an arithmetic progression is 5 and common difference is 5. Determine the 18th term and the sum of first 18 terms.
2502,84 g NaOH এবং 23 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 78% ফলন পেলে প্রকৃত ফলন কত?,84 g NaOH and 23 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 78% yield is obtained?
2503,NaCl স্ফটিকে কোন ধরনের বন্ধন থাকে?,What type of bond is present in an NaCl crystal?
2504,একটি 2 Ω রোধের মধ্য দিয়ে 14 V বিভবে কত তড়িৎ প্রবাহিত হবে এবং কত শক্তি ক্ষয় হবে?,How much current will flow through a resistor of 2 Ω at 14 V potential and how much power will be dissipated?
2505,225 N বল প্রয়োগে একটি বস্তু 15 m সরলে কৃত কাজ কত?,What is the work done when an object moves 15 m by applying a force of 225 N?
2506,22 kg ভরের একটি গাড়ি 45 m/s বেগে চলছে এবং 17 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 22 kg is moving at 45 m/s velocity and decreases to 17 m/s. What is the change in momentum and change in kinetic energy?
2507,একটি বস্তুকে অনুভূমিকের সাথে 45°কোণে 9.8 ms-1বেগে নিক্ষেপ করলে কত দূরে গিয়ে পড়,If an object is thrown at an angle of 45° with the horizontal at a speed of 9.8 ms-1; how far will it land
2508,92 g NaOH এবং 77 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 80% ফলন পেলে প্রকৃত ফলন কত?,92 g NaOH and 77 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 80% yield is obtained?
2509,একটি 28 Ω রোধের মধ্য দিয়ে 19 V বিভবে কত তড়িৎ প্রবাহিত হবে এবং কত শক্তি ক্ষয় হবে?,How much current will flow through a resistor of 28 Ω at 19 V potential and how much power will be dissipated?
2510,একটি বস্তুর ভর 20 kg এবং বেগ 20 m/s হলে ভরবেগ কত?,What is the momentum of an object with mass 20 kg and velocity 20 m/s?
2511,একটি প্রিজমের কোণ এবং ন্যূনতম বিচ্যুতি কোণ যথাক্রমে 60° ও 30° হলে প্রিজম পদার্থের প্রতিসরাঙ্ক কত?,If the angle of a prism and the angle of minimum deviation are 60° and 30° respectively; what is the refractive index of the prism's material?
2512,একটি বৃত্তের ব্যাসার্ধ 19 সেমি এবং একটি বর্গের বাহু 17 সেমি। উভয়ের ক্ষেত্রফল ও পরিসীমার অনুপাত নির্ণয় করো।,The radius of a circle is 19 cm and the side of a square is 17 cm. Determine the ratio of areas and perimeters of both.
2513,একটি ৮০ কিলোগ্রাম ভারের বস্তুকে ৯ m/s² ত্বরণে চালানোর জন্য প্রয়োজনীয় বল কত?,What is the force required to move an object of 80 kg mass with an acceleration of 9 m/s²?
2514,একটি বৃত্তের ব্যাসার্ধ 19 সেমি এবং একটি বর্গের বাহু 14 সেমি। উভয়ের ক্ষেত্রফল ও পরিসীমার অনুপাত নির্ণয় করো।,The radius of a circle is 19 cm and the side of a square is 14 cm. Determine the ratio of areas and perimeters of both.
2515,"→A=ˆi,→B=2ˆi+ˆk,A→=i^,B→=2i^+k^,→AA→ ও →BB→ -এর মধ্যবর্তী কোণ-",What is the angle between the vectors →A=ˆi and →B=2ˆi+ˆk?
2516,"হাইড্রোেজন পরমাণুর ১ম কক্ষপথের ইলেক্ট্রনের শক্তি – 13.6 eV হলে, এর ৩য় কক্ষপথের ইলেক্ট্রনের শক্তি কত?",If the energy of an electron in the 1st orbit of a hydrogen atom is – 13.6 eV; what is the energy of the electron in its 3rd orbit?
2517,"`vecA=hati,vecB=2hati+hatk,` `vecA` ও `vecB` ভেক্টরের মধ্যবর্তী কোণ কত?","`vecA=hati,vecB=2hati+hatk,` What is the angle between vectors `vecA` and `vecB`?"
2518,বিষুবীয় অঞ্চলে বিনতি কোণের মান কত?,What is the value of the angle of dip in the equatorial region?
2519,"75 g NaCl-এ কত মোল আছে? (Na=23, Cl=35.5)","How many moles are there in 75 g NaCl? (Na=23, Cl=35.5)"
2520,বর্তনীতে সর্বদা বিপরীত বায়াসে সংযোগ দেওয়া হয়__,In a circuit; which is always connected in reverse bias?
2521,175 N বল প্রয়োগে একটি বস্তু 20 m সরলে কৃত কাজ কত?,What is the work done when an object moves 20 m by applying a force of 175 N?
2522,70 g NaOH এবং 97 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 75% ফলন পেলে প্রকৃত ফলন কত?,70 g NaOH and 97 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 75% yield is obtained?
2523,নিচের কোন সমীকরণ দ্বারা একটি তড়িৎবাহী অসীম দৈর্ঘ্য সরল তারের নিকটে চৌম্বক প্রাবল্য নির্ণয় করা যায়?,By which of the following equations can the magnetic field strength near a current-carrying infinitely long straight wire be determined?
2524,মহাকর্ষীয় বিভব একটি-,Gravitational potential is a-
2525,একটি ইলেকট্রনের ভর 9.11×10⁻³¹ kg হলে এর ভর কত হবে?,If the mass of an electron is 9.11×10⁻³¹ kg; what will its mass be?
2526,কোন ধর্মের কারণে পানির ফোঁটা গোলাকৃতি হয়?,Due to which property do water droplets become spherical?
2527,একটি দ্বিঘাত সমীকরণ 1x² + 8x + -33 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 1x² + 8x + -33 = 0 and verify the sum and product of the roots.
2528,একটি দ্বিঘাত সমীকরণ 4x² + -16x + 16 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 4x² + -16x + 16 = 0 and verify the sum and product of the roots.
2529,ট্রানজিস্টরে কমন এমিটার কনফিগারেশন কী?,What is the common emitter configuration in a transistor?
2530,60 kg ভরের একটি গাড়ি 61 m/s বেগে চলছে এবং 18 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 60 kg is moving at 61 m/s velocity and decreases to 18 m/s. What is the change in momentum and change in kinetic energy?
2531,একটি 1420 kg ভরের গাড়ি 23 m/s বেগে চলছে। ড্রাইভার ব্রেক চেপে 6.3 m/s² মন্দন তৈরি করল। (ক) গাড়ি থামতে কত সময় লাগবে? (খ) থামার আগে কত দূরত্ব অতিক্রম করবে? (গ) ব্রেক চাপার 2 সেকেন্ড পর গাড়ির বেগ কত? (ঘ) এই প্রক্রিয়ায় কত যান্ত্রিক শক্তি তাপে রূপান্তরিত হলো?,A car of mass 1420 kg is moving at 23 m/s velocity. The driver applies brakes creating a deceleration of 6.3 m/s². (a) How much time will it take for the car to stop? (b) How much distance will it cover before stopping? (c) What will be the velocity of the car 2 seconds after applying brakes? (d) How much mechanical energy was converted to heat in this process?
2532,দুটি ভেক্টরের মধ্যেকার কোণ 60° এবং তাদের মান 3 এবং 4। স্কেলার গুণফল কত?,The angle between two vectors is 60° and their magnitudes are 3 and 4. What is the scalar product?
2533,ঘড়ির সেকেন্ডের কাঁটার কৌণিক বেগ কত?,What is the angular velocity of the second hand of a clock?
2534,3×10-3m ব্যাসার্ধবিশিষ্ট একটি সাবানের বুদবুদের পৃষ্ঠশক্তি কত হবে ? [ সাবান দ্রবণের পৃষ্ঠটান 20×10-3 Nm-1 ],What will be the surface energy of a soap bubble with a radius of 3×10-3m ? [ Surface tension of soap solution is 20×10-3 Nm-1 ]
2535,আলোর তরঙ্গতত্ত্ব প্রদান করেন কে?,Who proposed the wave theory of light?
2536,28 kg ভরের একটি গাড়ি 35 m/s বেগে চলছে এবং 21 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 28 kg is moving at 35 m/s velocity and decreases to 21 m/s. What is the change in momentum and change in kinetic energy?
2537,একটি ট্রান্সফরমারের দক্ষতা η কত হলে শক্তি ক্ষয় হবে না?,What should be the efficiency η of a transformer for no energy loss?
2538,29 kg ভরের একটি গাড়ি 55 m/s বেগে চলছে এবং 5 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 29 kg is moving at 55 m/s velocity and decreases to 5 m/s. What is the change in momentum and change in kinetic energy?
2539,ফিশন প্রক্রিয়ায় কী উৎপন্ন হয়?,What is produced in a fission process?
2540,37 g NaOH এবং 14 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 87% ফলন পেলে প্রকৃত ফলন কত?,37 g NaOH and 14 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 87% yield is obtained?
2541,একটি দ্রব্য 1347 টাকায় কিনে 44% লাভে বিক্রয় করা হলো। বিক্রয় মূল্য এবং লাভের পরিমাণ কত?,An item was bought for 1347 taka and sold at 44% profit. What is the selling price and profit amount?
2542,10 N মানের একটি বল X অক্ষে দিকে ক্রিয়া করলে Y অক্ষে দিকে এর উপাংশ হবে:,If a force of magnitude 10 N acts along the X-axis; its component along the Y-axis will be:
2543,200 N বল প্রয়োগে একটি বস্তু 20 m সরলে কৃত কাজ কত?,What is the work done when an object moves 20 m by applying a force of 200 N?
2544,একটি 1397 kg ভরের গাড়ি 33 m/s বেগে চলছে। ড্রাইভার ব্রেক চেপে 6.3 m/s² মন্দন তৈরি করল। (ক) গাড়ি থামতে কত সময় লাগবে? (খ) থামার আগে কত দূরত্ব অতিক্রম করবে? (গ) ব্রেক চাপার 4 সেকেন্ড পর গাড়ির বেগ কত? (ঘ) এই প্রক্রিয়ায় কত যান্ত্রিক শক্তি তাপে রূপান্তরিত হলো?,A car of mass 1397 kg is moving at 33 m/s velocity. The driver applies brakes creating a deceleration of 6.3 m/s². (a) How much time will it take for the car to stop? (b) How much distance will it cover before stopping? (c) What will be the velocity of the car 4 seconds after applying brakes? (d) How much mechanical energy was converted to heat in this process?
2545,একটি সমান্তর অনুক্রমের প্রথম পদ 23 এবং সাধারণ অন্তর 4। 24 তম পদ এবং প্রথম 24 পদের সমষ্টি নির্ণয় করো।,The first term of an arithmetic progression is 23 and common difference is 4. Determine the 24th term and the sum of first 24 terms.
2546,একটি ক্যাপাসিটর কাজ করে --,A capacitor works in --
2547,একটি দ্বিঘাত সমীকরণ 1x² + 5x + -14 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 1x² + 5x + -14 = 0 and verify the sum and product of the roots.
2548,একটি ব্যাংকে 210928 টাকা 10 বছরের জন্য বার্ষিক 9% হারে সরল সুদ ও বছরে 12 বার চক্রবৃদ্ধি সুদে জমা দেওয়া হলো। (ক) সরল সুদের মোট টাকা কত? (খ) চক্রবৃদ্ধি সুদের মোট টাকা কত? (গ) পার্থক্য কত টাকা? (ঘ) কোন পদ্ধতিতে বেশি লাভ এবং কেন?,An amount of 210928 taka is deposited in a bank for 10 years at an annual rate of 9% for both simple interest and compound interest compounded 12 times per year. (a) What is the total amount with simple interest? (b) What is the total amount with compound interest? (c) What is the difference in taka? (d) Which method gives more profit and why?
2549,পূর্ণ একটি চক্রের জন্য দিক পরিবর্তী তড়িৎ প্রবাহের গড় মান ----,The average value of alternating current for a full cycle is ----
2550,একটি আদর্শ গ্যাসের নমুনার তাপমাত্রা 20°C। নমুনাটির চাপ ও আয়তন দ্বিগুণ করা হলে এর পরিবর্তিত তাপমাত্রা কত হবে?,The temperature of an ideal gas sample is 20°C. If both the pressure and volume of the sample are doubled; what will be its new temperature?
2551,কোনটি সঠিক?,Which is correct?
2552,একটি বস্তুর ভর 10 kg এবং বেগ 35 m/s হলে ভরবেগ কত?,What is the momentum of an object with mass 10 kg and velocity 35 m/s?
2553,একটি সমান্তর অনুক্রমের প্রথম পদ 18 এবং সাধারণ অন্তর 7। 16 তম পদ এবং প্রথম 16 পদের সমষ্টি নির্ণয় করো।,The first term of an arithmetic progression is 18 and common difference is 7. Determine the 16th term and the sum of first 16 terms.
2554,পৃথিবীর পৃষ্ঠ থেকে 6400 km উপরে g এর মান কত হবে?,What will be the value of g at a height of 6400 km from the Earth's surface?
2555,77 kg ভরের একটি গাড়ি 70 m/s বেগে চলছে এবং 7 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 77 kg is moving at 70 m/s velocity and decreases to 7 m/s. What is the change in momentum and change in kinetic energy?
2556,একটি বস্তুর ভর 35 kg এবং বেগ 35 m/s হলে ভরবেগ কত?,What is the momentum of an object with mass 35 kg and velocity 35 m/s?
2557,একটি আদর্শ 1:8 stop-down ট্রান্সফরমারের মূখ্য কুশুলীর ক্ষমতা 10KW এবং গৌণ কুণ্ডলীতে 25A বিদ্যুৎ প্রবাহিত হচ্ছে। মুখ্য কুণ্ডলীর ভােল্টেজ কত?,The power of the primary coil of an ideal 1:8 step-down transformer is 10KW and 25A of current flows through the secondary coil; What is the voltage of the primary coil?
2558,একটি 17 Ω রোধের মধ্য দিয়ে 7 V বিভবে কত তড়িৎ প্রবাহিত হবে এবং কত শক্তি ক্ষয় হবে?,How much current will flow through a resistor of 17 Ω at 7 V potential and how much power will be dissipated?
2559,ইন্টারফারেন্স কোন ধরনের তরঙ্গে ঘটে?,In which type of wave does interference occur?
2560,একটি দ্বিঘাত সমীকরণ 5x² + 130x + 840 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 5x² + 130x + 840 = 0 and verify the sum and product of the roots.
2561,একটি দ্বিঘাত সমীকরণ 4x² + -44x + -48 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 4x² + -44x + -48 = 0 and verify the sum and product of the roots.
2562,কোনো উপাদানের নির্দিষ্ট তাপ ধারকত্ব নির্ণয় করা হয় কী দ্বারা?,The specific heat capacity of a substance is determined by what?
2563,"একটি রোধের গায়ে যথাক্রমে হলুদ, বেগুনী ও কমলা রং দেওয়া আছে। এর রোধের মান কত?",A resistor is colored yellow; violet; and orange respectively. What is its resistance value?
2564,একটি ব্যাংকে 123930 টাকা 3 বছরের জন্য বার্ষিক 11% হারে সরল সুদ ও বছরে 12 বার চক্রবৃদ্ধি সুদে জমা দেওয়া হলো। (ক) সরল সুদের মোট টাকা কত? (খ) চক্রবৃদ্ধি সুদের মোট টাকা কত? (গ) পার্থক্য কত টাকা? (ঘ) কোন পদ্ধতিতে বেশি লাভ এবং কেন?,An amount of 123930 taka is deposited in a bank for 3 years at an annual rate of 11% for both simple interest and compound interest compounded 12 times per year. (a) What is the total amount with simple interest? (b) What is the total amount with compound interest? (c) What is the difference in taka? (d) Which method gives more profit and why?
2565,পৃথিবীর উপরিভাগে g এর মান 9.8 ms⁻² হলে পৃথিবীর কেন্দ্রস্থলে g এর মান কত হবে?,If the value of g on the surface of the Earth is 9.8 ms⁻²; what will be the value of g at the center of the Earth?
2566,0.049 M HCl দ্রবণের pH কত?,What is the pH of 0.049 M HCl solution?
2567,6630Å তরঙ্গদৈর্ঘ্য এর ফোটনের শক্তি কত?,What is the energy of a photon with a wavelength of 6630Å?
2568,200 N বল প্রয়োগে একটি বস্তু 25 m সরলে কৃত কাজ কত?,What is the work done when an object moves 25 m by applying a force of 200 N?
2569,কোন ভৌত রাশি চৌম্বক ধর্ম প্রকাশ করে?,Which physical quantity represents magnetic property?
2570,বল ও সরণের মধ্যবর্তী কোণ θ হলে ঋণাত্মক কাজের শর্ত হবে?,If the angle between force and displacement is θ; what will be the condition for negative work?
2571,"যদি `vecA=hati+hatj+hatk` এবং `vecB=2hati+2hatj+2hatk` হয়, তবে `vecB` বরাবর `vecA` এর লম্ব অভিক্ষেপ কত?",If vecA=hati+hatj+hatk and vecB=2hati+2hatj+2hatk; what is the projection of vecA along vecB?
2572,একটি ব্যাংকে 198446 টাকা 4 বছরের জন্য বার্ষিক 5% হারে সরল সুদ ও বছরে 2 বার চক্রবৃদ্ধি সুদে জমা দেওয়া হলো। (ক) সরল সুদের মোট টাকা কত? (খ) চক্রবৃদ্ধি সুদের মোট টাকা কত? (গ) পার্থক্য কত টাকা? (ঘ) কোন পদ্ধতিতে বেশি লাভ এবং কেন?,An amount of 198446 taka is deposited in a bank for 4 years at an annual rate of 5% for both simple interest and compound interest compounded 2 times per year. (a) What is the total amount with simple interest? (b) What is the total amount with compound interest? (c) What is the difference in taka? (d) Which method gives more profit and why?
2573,একটি দ্বিঘাত সমীকরণ 5x² + -25x + -30 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 5x² + -25x + -30 = 0 and verify the sum and product of the roots.
2574,"95 g NaOH কে 1.5 L পানিতে দ্রবীভূত করলে মোলারিটি কত? (Na=23, O=16, H=1)","What is the molarity when 95 g NaOH is dissolved in 1.5 L water? (Na=23, O=16, H=1)"
2575,DNA এবং RNA এর মধ্যে পার্থক্য কী?,What is the difference between DNA and RNA?
2576,একটি রেখা নলে (tube of force) কত সংখ্যক বলরেখা (lines of force) থাকে?,How many lines of force are there in a tube of force?
2577,একটি তরঙ্গের তড়িৎ চার্জ ৯০ µC এবং ক্ষেত্র ৭ N/C। বল কত?,An electric charge is 90 µC and the field is 7 N/C. What is the force?
2578,25 m/sec বেগে দৌড়ালে একজন মানুষ প্রতি মিনিটে কত দূরত্ব অতিক্রম করবে?,If a person runs at a speed of 25 m/sec; how much distance will they cover per minute?
2579,93 g NaOH এবং 87 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 94% ফলন পেলে প্রকৃত ফলন কত?,93 g NaOH and 87 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 94% yield is obtained?
2580,প্রাথমিক তাপগতিবিদ্যার ধ্রুবক R এর মান কত?,What is the value of the thermodynamic constant R?
2581,একটি গ্যাসকে সমচাপীয় প্রক্রিয়ায় (Isobaric) উত্তপ্ত করা হলে কোনটি বৃদ্ধি পায়?,When a gas is heated in an isobaric process; which of the following increases?
2582,একটি 1527 kg ভরের গাড়ি 26 m/s বেগে চলছে। ড্রাইভার ব্রেক চেপে 5.1 m/s² মন্দন তৈরি করল। (ক) গাড়ি থামতে কত সময় লাগবে? (খ) থামার আগে কত দূরত্ব অতিক্রম করবে? (গ) ব্রেক চাপার 2 সেকেন্ড পর গাড়ির বেগ কত? (ঘ) এই প্রক্রিয়ায় কত যান্ত্রিক শক্তি তাপে রূপান্তরিত হলো?,A car of mass 1527 kg is moving at 26 m/s velocity. The driver applies brakes creating a deceleration of 5.1 m/s². (a) How much time will it take for the car to stop? (b) How much distance will it cover before stopping? (c) What will be the velocity of the car 2 seconds after applying brakes? (d) How much mechanical energy was converted to heat in this process?
2583,300 Hz কম্পাঙ্কের একটি শব্দ তরঙ্গের পানি ও বাতাসে তরঙ্গদৈর্ঘ্যের পার্থক্য 4.16 m। শব্দের গতি বাতাসে 352 ms-1 হলে পানিতে শব্দের গতি কত?,The difference in the wavelengths of a 300 Hz sound wave in water and air is 4.16 m; If the speed of sound in air is 352 ms-1; what is the speed of sound in water?
2584,একটি দ্বিঘাত সমীকরণ 4x² + -76x + 352 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 4x² + -76x + 352 = 0 and verify the sum and product of the roots.
2585,একটি বস্তুর ভর 20 kg এবং বেগ 30 m/s হলে ভরবেগ কত?,What is the momentum of an object with mass 20 kg and velocity 30 m/s?
2586,"45 g NaOH কে 0.7 L পানিতে দ্রবীভূত করলে মোলারিটি কত? (Na=23, O=16, H=1)","What is the molarity when 45 g NaOH is dissolved in 0.7 L water? (Na=23, O=16, H=1)"
2587,225 N বল প্রয়োগে একটি বস্তু 20 m সরলে কৃত কাজ কত?,What is the work done when an object moves 20 m by applying a force of 225 N?
2588,1.5 x 106ভরের একটি লিফট একটি ইস্পাতের তারের সাহায্যে ঝুলানো আছে। এটি ওঠার সময় সর্বোচ্চ ত্বরণ 1.2 ms-2 এবং অসহ পীড়ন 3.0 x 108 Nm-2হলে তারের সর্বনিম্ন ব্যাসার্ধ কতো?,A lift of mass 1.5 x 106 kg is suspended by a steel wire. If its maximum upward acceleration is 1.2 ms-2 and the breaking stress is 3.0 x 10^8 Nm-2; what is the minimum radius of the wire?
2589,নিচের কোন নিউক্লিয়াসে প্রোটন ও নিউট্রন সংখ্যা সমান?,In which of the following nuclei is the number of protons and neutrons equal?
2590,একটি ব্যাংকে 275675 টাকা 9 বছরের জন্য বার্ষিক 14% হারে সরল সুদ ও বছরে 2 বার চক্রবৃদ্ধি সুদে জমা দেওয়া হলো। (ক) সরল সুদের মোট টাকা কত? (খ) চক্রবৃদ্ধি সুদের মোট টাকা কত? (গ) পার্থক্য কত টাকা? (ঘ) কোন পদ্ধতিতে বেশি লাভ এবং কেন?,An amount of 275675 taka is deposited in a bank for 9 years at an annual rate of 14% for both simple interest and compound interest compounded 2 times per year. (a) What is the total amount with simple interest? (b) What is the total amount with compound interest? (c) What is the difference in taka? (d) Which method gives more profit and why?
2591,একটি গাড়ি 72 km/h বেগে চললে এটি কত m/s এর সমান হবে?,If a car travels at a speed of 72 km/h; what will be its equivalent in m/s?
2592,একটি 1400 kg ভরের গাড়ি 27 m/s বেগে চলছে। ড্রাইভার ব্রেক চেপে 5.0 m/s² মন্দন তৈরি করল। (ক) গাড়ি থামতে কত সময় লাগবে? (খ) থামার আগে কত দূরত্ব অতিক্রম করবে? (গ) ব্রেক চাপার 6 সেকেন্ড পর গাড়ির বেগ কত? (ঘ) এই প্রক্রিয়ায় কত যান্ত্রিক শক্তি তাপে রূপান্তরিত হলো?,A car of mass 1400 kg is moving at 27 m/s velocity. The driver applies brakes creating a deceleration of 5.0 m/s². (a) How much time will it take for the car to stop? (b) How much distance will it cover before stopping? (c) What will be the velocity of the car 6 seconds after applying brakes? (d) How much mechanical energy was converted to heat in this process?
2593,একক ভেক্টর (Unit vector) এর ক্ষেত্রে কোন সমীকরণটি সঠিক?,In the case of unit vectors; which equation is correct?
2594,একটি 44 Ω রোধের মধ্য দিয়ে 17 V বিভবে কত তড়িৎ প্রবাহিত হবে এবং কত শক্তি ক্ষয় হবে?,How much current will flow through a resistor of 44 Ω at 17 V potential and how much power will be dissipated?
2595,একটি বস্তু ২০ মিটার/সেকেন্ড বেগে ৫০° কোণে নিক্ষেপ করা হয়। সর্বোচ্চ উচ্চতা কত? (g = ৯.৮ m/s²),An object is thrown at an angle of 50° with a velocity of 20 m/s. What is the maximum height? (g = 9.8 m/s²)
2596,একটি 9 Ω রোধের মধ্য দিয়ে 24 V বিভবে কত তড়িৎ প্রবাহিত হবে এবং কত শক্তি ক্ষয় হবে?,How much current will flow through a resistor of 9 Ω at 24 V potential and how much power will be dissipated?
